16/10/2020, 11367
23/10/2020, 13128
30/10/2020, 13803
06/11/2020, 14834
13/11/2020, 16082
20/11/2020, 18718
27/11/2020, 17723
04/12/2020, 19135
11/12/2020, 18811
18/12/2020, 23874
25/12/2020, 26475
01/01/2021, 32149
08/01/2021, 40257
15/01/2021, 36200
22/01/2021, 32114
29/01/2021, 34361
05/02/2021, 39267
12/02/2021, 47239
19/02/2021, 56104
26/02/2021, 46189
05/03/2021, 48909
12/03/2021, 61283
19/03/2021, 58126
26/03/2021, 55880
02/04/2021, 57094
09/04/2021, 59778
16/04/2021, 60141
23/04/2021, 50046
30/04/2021, 57858
07/05/2021, 58958
14/05/2021, 46795
21/05/2021, 37596
28/05/2021, 34618
04/06/2021, 35530
11/06/2021, 35517
18/06/2021, 35484
25/06/2021, 32275
